Metric,Value
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,18.203032
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,6344
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,6344
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29992
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29995
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.0000775753
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.00007437
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.0000539557
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.00007437
design_powergrid__voltage__worst,0.00007437
design_powergrid__voltage__worst__net:VDD,3.29992
design_powergrid__drop__worst,0.0000775753
design_powergrid__drop__worst__net:VDD,0.0000775753
design_powergrid__voltage__worst__net:VSS,0.00007437
design_powergrid__drop__worst__net:VSS,0.00007437
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00005459999999999999901155456338841531760408543050289154052734375
ir__drop__worst,0.000077600000000000002417684108468876047481899149715900421142578125
design__xor_difference__count,0
klayout__antenna_error__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
